iter	RMSE
0	14.63632896
1	14.27545637
2	13.88898829
3	13.52569198
4	13.18480803
5	12.89768606
6	12.59842229
7	12.31877019
8	12.04278008
9	11.75428522
10	11.45609543
11	11.21533147
12	10.9946658
13	10.75411066
14	10.51542039
15	10.28092146
16	10.05542301
17	9.855615203
18	9.645256219
19	9.45752579
20	9.292929582
21	9.110990152
22	8.951640253
23	8.793747706
24	8.641087796
25	8.507329188
26	8.372425778
27	8.253135377
28	8.126308855
29	8.010135947
30	7.895918304
31	7.776670663
32	7.674395129
33	7.575037736
34	7.46830214
35	7.374290334
36	7.283232837
37	7.202743295
38	7.126637663
39	7.058736808
40	6.984993585
41	6.922336179
42	6.845308548
43	6.782389628
44	6.716107764
45	6.660103754
46	6.594313417
47	6.542017868
48	6.481873139
49	6.429733285
50	6.380274229
51	6.328906316
52	6.283234446
53	6.240264675
54	6.195883147
55	6.156748343
56	6.117521859
57	6.085075906
58	6.053216727
59	6.023730152
60	5.991462463
61	5.960730326
62	5.93228998
63	5.900068656
64	5.8759862
65	5.848488233
66	5.824603703
67	5.801342545
68	5.778779245
69	5.751448666
70	5.727584139
71	5.708660811
72	5.69309216
73	5.670810731
74	5.653670023
75	5.637158714
76	5.622927202
77	5.604121683
78	5.589410365
79	5.572009516
80	5.556819575
81	5.542642482
82	5.523933599
83	5.512569831
84	5.495195945
85	5.483564289
86	5.470632719
87	5.461531452
88	5.449267879
89	5.43755296
90	5.426724949
91	5.418610219
92	5.408421552
93	5.399886231
94	5.391239178
95	5.384407608
96	5.377764355
97	5.369737084
98	5.35955812
99	5.346687237
100	5.33784706
101	5.332340683
102	5.322488649
103	5.314590174
104	5.308348677
105	5.296072582
106	5.286133329
107	5.27638533
108	5.269365664
109	5.258370739
110	5.252352814
111	5.243394869
112	5.23571249
113	5.226808548
114	5.221742756
115	5.216574782
116	5.212736037
117	5.205705079
118	5.202610416
119	5.193249575
120	5.18755933
121	5.182196992
122	5.177209465
123	5.172170412
124	5.163245947
125	5.157082054
126	5.148698718
127	5.13771713
128	5.130746246
129	5.126399026
130	5.120169441
131	5.113161061
132	5.107238976
133	5.100923612
134	5.094968517
135	5.090752227
136	5.083824603
137	5.079868681
138	5.076485158
139	5.071964975
140	5.067273149
141	5.060136039
142	5.057925784
143	5.054156698
144	5.051113108
145	5.046772122
146	5.040003388
147	5.036020382
148	5.031336412
149	5.030348058
150	5.027169166
151	5.023112523
152	5.022219757
153	5.01567998
154	5.00691332
155	5.000221659
156	4.994039008
157	4.992511323
158	4.985436471
159	4.979336607
160	4.975732043
161	4.971470217
162	4.968247162
163	4.964892603
164	4.959580529
165	4.956859241
166	4.951770553
167	4.948225375
168	4.942006411
