iter	Passed	Remaining
0	1	1736
1	3	1581
2	4	1473
3	5	1418
4	7	1463
5	8	1449
6	9	1414
7	11	1395
8	12	1414
9	14	1431
10	15	1415
11	17	1407
12	18	1418
13	20	1421
14	21	1413
15	23	1426
16	24	1418
17	25	1414
18	27	1403
19	28	1402
20	29	1394
21	31	1385
22	32	1378
23	33	1373
24	35	1367
25	36	1358
26	37	1348
27	38	1340
28	39	1337
29	41	1329
30	42	1322
31	43	1320
32	45	1320
33	46	1315
34	47	1308
35	48	1303
36	49	1300
37	51	1295
38	52	1290
39	53	1286
40	54	1284
41	56	1282
42	57	1278
43	58	1273
44	59	1268
45	61	1265
46	62	1261
47	63	1257
48	64	1254
49	66	1255
50	67	1252
51	68	1249
52	69	1246
53	71	1247
54	72	1246
55	73	1243
56	74	1239
57	76	1239
58	77	1237
59	78	1234
60	79	1230
61	81	1227
62	82	1227
63	83	1223
64	84	1219
65	85	1215
66	87	1213
67	88	1210
68	89	1206
69	90	1202
70	91	1198
71	92	1196
72	94	1193
73	95	1190
74	96	1187
75	97	1184
76	98	1182
77	99	1179
78	100	1176
79	101	1172
80	103	1170
81	104	1168
82	105	1165
83	106	1162
84	107	1160
85	109	1159
86	110	1156
87	111	1153
88	112	1148
89	113	1146
90	114	1147
91	115	1144
92	117	1141
93	118	1139
94	119	1137
95	120	1135
96	121	1129
97	122	1123
98	123	1121
99	124	1120
100	125	1119
101	126	1117
102	127	1114
103	129	1113
104	130	1111
105	131	1109
106	132	1107
107	133	1105
108	135	1103
109	136	1102
110	137	1100
111	138	1098
112	139	1096
113	140	1095
114	142	1093
115	142	1089
116	144	1087
117	145	1086
118	146	1084
119	147	1082
120	148	1080
121	149	1078
122	151	1078
123	152	1076
124	153	1074
125	154	1072
126	155	1071
127	157	1069
128	158	1068
129	159	1066
130	160	1064
131	161	1063
132	162	1062
133	164	1060
134	165	1058
135	166	1057
136	167	1056
137	168	1054
138	169	1052
139	171	1050
140	172	1049
141	173	1048
142	174	1045
143	175	1043
144	176	1041
145	177	1040
146	178	1038
147	181	1042
148	182	1043
149	183	1038
150	184	1037
151	185	1036
152	186	1031
153	187	1031
154	189	1030
155	190	1029
156	191	1027
157	192	1026
158	194	1026
159	195	1026
160	196	1025
161	198	1024
162	199	1026
163	201	1025
164	202	1024
165	204	1025
166	205	1024
167	206	1023
168	207	1022
169	209	1021
170	210	1020
171	211	1019
172	212	1017
173	214	1016
174	215	1015
175	216	1013
176	217	1011
177	218	1010
178	219	1008
179	221	1007
180	222	1005
181	223	1004
182	224	1002
183	225	1001
184	226	999
185	228	998
186	229	996
187	230	995
188	231	994
189	232	992
190	234	991
191	235	989
192	236	988
193	237	987
194	238	985
195	239	983
196	241	982
197	242	982
198	243	980
199	244	978
200	245	977
201	247	976
202	248	974
203	249	973
204	250	972
205	251	970
206	253	969
207	254	967
208	255	966
209	256	964
210	257	963
211	258	961
212	259	960
213	261	958
214	262	957
215	263	956
216	264	954
217	265	953
218	266	951
219	267	949
220	269	948
221	270	947
222	271	945
223	272	943
224	273	942
225	274	941
226	275	939
227	277	938
228	278	936
229	279	935
230	280	934
231	281	932
232	282	931
233	284	929
234	285	928
235	286	926
236	287	925
237	288	923
238	289	922
239	290	921
240	292	920
241	293	918
242	294	917
243	295	916
244	297	915
245	298	914
246	299	912
247	300	911
248	301	909
249	302	908
250	303	907
251	305	905
252	306	904
253	307	903
254	308	902
255	309	900
256	311	899
257	312	898
258	313	897
259	314	895
260	315	894
261	317	893
262	318	891
263	319	890
264	320	889
265	321	887
266	323	886
267	324	885
268	325	884
269	326	882
270	327	881
271	328	880
272	330	878
273	331	877
274	332	876
275	333	875
276	334	873
277	335	872
278	337	871
279	338	869
280	339	868
281	340	867
282	341	865
283	342	864
284	343	862
285	345	861
286	346	860
287	347	858
288	348	857
289	350	857
290	351	856
291	352	855
292	354	856
293	356	855
294	357	854
295	358	853
296	360	852
297	361	851
298	362	850
299	363	848
300	364	847
301	366	846
302	367	845
303	368	843
304	369	842
305	371	841
306	372	840
307	373	839
308	374	838
309	376	837
310	377	836
311	378	834
312	379	833
313	380	832
314	382	831
315	384	831
316	385	830
317	386	829
318	388	828
319	389	827
320	390	826
321	392	826
322	393	825
323	394	823
324	396	823
325	397	822
326	399	822
327	400	821
328	402	820
329	403	819
330	405	818
331	406	818
332	408	817
333	409	817
334	411	816
335	412	816
336	414	815
337	415	814
338	417	813
339	420	815
340	421	815
341	423	814
342	425	814
343	426	814
344	428	813
345	430	812
346	431	811
347	432	811
348	434	809
349	437	811
350	438	810
351	440	810
352	441	809
353	442	808
354	444	807
355	445	806
356	446	804
357	448	803
358	449	803
359	451	802
360	452	800
361	453	799
362	455	798
363	456	797
364	457	796
365	459	795
366	460	794
367	461	793
368	463	791
369	464	791
370	465	789
371	467	788
372	468	787
373	469	786
374	471	785
375	472	783
376	473	782
377	474	781
378	475	779
379	477	778
380	478	777
381	479	775
382	480	774
383	481	773
384	483	771
385	484	770
386	485	768
387	486	767
388	487	766
389	488	764
390	490	763
391	491	761
392	492	760
393	493	759
394	495	758
395	496	757
